date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:38	22064/22064	---M-Z	200	added ('OK')	application/javascript	etag:%225630-51286a2b14f00-gzip%22	http://www.consultaenderecos.com.br/assets/jquery.prettyPhoto-b974cdebc2841daa702e88df9fa1ff08.js?body=1	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/jquery.prettyPhoto-b974cdebc2841daa702e88df9fa1ff087e76.js	(from http://www.consultaenderecos.com.br/)
15:47:41	94841/94841	---M-Z	200	added ('OK')	application/javascript	etag:%2217279-51286a2b14f00-gzip%22	http://www.consultaenderecos.com.br/assets/jquery.min-19f17196c8a285835b6f26fca329a8a7.js?body=1	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/jquery.min-19f17196c8a285835b6f26fca329a8a77e76.js	(from http://www.consultaenderecos.com.br/)
15:47:45	282767/282767	---MCZ	200	added ('OK')	application/javascript	etag:%22a10659cc4a299e854138631dabbb5b56%22	http://www.consultaenderecos.com.br/assets/jquery-a10659cc4a299e854138631dabbb5b56.js?body=1	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/jquery-a10659cc4a299e854138631dabbb5b567e76.js	(from http://www.consultaenderecos.com.br/)
15:47:45	41445/41445	---MC-	200	added ('OK')	application/javascript	date:Thu,%2029%20Jun%202017%2018:47:39%20GMT	http://apis.google.com/js/plusone.js	C:/My%20Web%20Sites/sistemas%20web/apis.google.com/js/plusone.js	(from http://www.consultaenderecos.com.br/)
15:47:45	21658/21658	---MCZ	200	added ('OK')	text/css	etag:W/%221f9e9d1a5a1d347d945ef4b7727f2ea0%22	http://netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	C:/My%20Web%20Sites/sistemas%20web/netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	(from http://www.consultaenderecos.com.br/)
15:47:46	11060/11060	---MCZ	200	added ('OK')	text/html	etag:%22797bb5e4f1690e5dd7ab2a981d9e44a1%22	http://www.consultaenderecos.com.br/busca-cep	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/busca-cep.html	(from http://www.consultaenderecos.com.br/)
15:47:48	11068/11068	---MCZ	200	added ('OK')	text/html	etag:%229f0345a05690b4f03b7051c17c1f887e%22	http://www.consultaenderecos.com.br/busca-endereco	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/busca-endereco.html	(from http://www.consultaenderecos.com.br/)
15:47:49	10797/10797	---MCZ	200	added ('OK')	text/html	etag:%22845e70f4b6423c7ca8ab7437adda6bb0%22	http://www.consultaenderecos.com.br/sobre	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/sobre.html	(from http://www.consultaenderecos.com.br/)
15:47:49	41440/41440	---MC-	200	added ('OK')	application/javascript	date:Thu,%2029%20Jun%202017%2018:47:42%20GMT	https://apis.google.com/js/platform.js	C:/My%20Web%20Sites/sistemas%20web/apis.google.com/js/platform.js	(from http://www.consultaenderecos.com.br/)
15:47:50	10613/10613	---MCZ	200	added ('OK')	text/html	etag:%22cbe726967390a83c6aa222cf31773ff4%22	http://www.consultaenderecos.com.br/contato	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/contato.html	(from http://www.consultaenderecos.com.br/)
15:47:52	8289/8289	---M--	200	added ('OK')	image/jpeg	etag:%222061-51286a2b14f00%22	http://www.consultaenderecos.com.br/assets/globe-83867c0f78283f6c280fe5282a06b4d0.jpg	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/globe-83867c0f78283f6c280fe5282a06b4d0.jpg	(from http://www.consultaenderecos.com.br/)
15:47:53	58254/58254	---M--	200	added ('OK')	text/javascript	etag:11300953887742131601	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/sistemas%20web/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://www.consultaenderecos.com.br/)
15:47:54	1564/1564	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jun%202017%2018:47:50%20GMT	http://www.consultaenderecos.com.br/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/fonts/glyphicons-halflings-regular.1d.delayed	(from http://www.consultaenderecos.com.br/assets/bootstrap-023c4d82f20da127ad05835788265923.css?body=1)
15:47:54	1564/1564	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jun%202017%2018:47:51%20GMT	http://www.consultaenderecos.com.br/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/fonts/glyphicons-halflings-regulard41d.eot	(from http://www.consultaenderecos.com.br/assets/bootstrap-023c4d82f20da127ad05835788265923.css?body=1)
15:47:54	1564/1564	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jun%202017%2018:47:51%20GMT	http://www.consultaenderecos.com.br/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/fonts/glyphicons-halflings-regular.woff	(from http://www.consultaenderecos.com.br/assets/bootstrap-023c4d82f20da127ad05835788265923.css?body=1)
15:47:54	33467/33467	---M--	200	added ('OK')	image/jpeg	etag:%2282bb-51286a2b14f00%22	http://www.consultaenderecos.com.br/assets/consultaenderecos-3e54140b28a3cddf43991006a8af842d.jpg	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/consultaenderecos-3e54140b28a3cddf43991006a8af842d.jpg	(from http://www.consultaenderecos.com.br/)
15:47:55	1564/1564	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jun%202017%2018:47:52%20GMT	http://www.consultaenderecos.com.br/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/fonts/glyphicons-halflings-regular.ttf	(from http://www.consultaenderecos.com.br/assets/bootstrap-023c4d82f20da127ad05835788265923.css?body=1)
15:47:55	1564/1564	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jun%202017%2018:47:52%20GMT	http://www.consultaenderecos.com.br/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/fonts/glyphicons-halflings-regular.svg	(from http://www.consultaenderecos.com.br/assets/bootstrap-023c4d82f20da127ad05835788265923.css?body=1)
15:47:55	1564/1564	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jun%202017%2018:47:52%20GMT	http://www.consultaenderecos.com.br/assets/fonts/fontawesome-webfont.eot?v=4.0.3	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/fonts/fontawesome-webfontba72.eot	(from http://www.consultaenderecos.com.br/assets/font-awesome-069347923bdc32a4b84ee8e756a3137a.css?body=1)
15:47:56	1564/1564	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jun%202017%2018:47:53%20GMT	http://www.consultaenderecos.com.br/assets/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/fonts/fontawesome-webfontd41d.eot	(from http://www.consultaenderecos.com.br/assets/font-awesome-069347923bdc32a4b84ee8e756a3137a.css?body=1)
15:47:56	1564/1564	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jun%202017%2018:47:53%20GMT	http://www.consultaenderecos.com.br/assets/fonts/fontawesome-webfont.woff?v=4.0.3	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/fonts/fontawesome-webfontba72.woff	(from http://www.consultaenderecos.com.br/assets/font-awesome-069347923bdc32a4b84ee8e756a3137a.css?body=1)
15:47:57	1564/1564	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jun%202017%2018:47:54%20GMT	http://www.consultaenderecos.com.br/assets/fonts/fontawesome-webfont.ttf?v=4.0.3	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/fonts/fontawesome-webfontba72.ttf	(from http://www.consultaenderecos.com.br/assets/font-awesome-069347923bdc32a4b84ee8e756a3137a.css?body=1)
15:47:57	1564/1564	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jun%202017%2018:47:54%20GMT	http://www.consultaenderecos.com.br/assets/fonts/fontawesome-webfont.svg?v=4.0.3	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/fonts/fontawesome-webfontba72.svg	(from http://www.consultaenderecos.com.br/assets/font-awesome-069347923bdc32a4b84ee8e756a3137a.css?body=1)
15:47:58	518102/518102	---MCZ	200	added ('OK')	application/javascript	etag:%227e7d6-51286a2b14f00-gzip%22	http://www.consultaenderecos.com.br/assets/application-72ab80178c83196221c9af732d57e8dd.js?body=1	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/application-72ab80178c83196221c9af732d57e8dd7e76.js	(from http://www.consultaenderecos.com.br/)
15:47:58	96381/96381	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	C:/My%20Web%20Sites/sistemas%20web/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from http://www.consultaenderecos.com.br/)
